1.30779e-04 1.32489e+02  -1.32487e+02 0.00000e+00 
1.31300e-04 1.34612e+02  -1.34610e+02 0.00000e+00 
1.31821e-04 1.36759e+02  -1.36757e+02 0.00000e+00 
1.32342e-04 1.38933e+02  -1.38931e+02 0.00000e+00 
1.32863e-04 1.41133e+02  -1.41131e+02 0.00000e+00 
1.33384e-04 1.43361e+02  -1.43358e+02 0.00000e+00 
1.33905e-04 1.45613e+02  -1.45611e+02 0.00000e+00 
1.34426e-04 1.47891e+02  -1.47889e+02 0.00000e+00 
1.34947e-04 1.50195e+02  -1.50193e+02 0.00000e+00 
1.35468e-04 1.52527e+02  -1.52525e+02 0.00000e+00 
1.35989e-04 1.54888e+02  -1.54885e+02 0.00000e+00 
1.36510e-04 1.57275e+02  -1.57273e+02 0.00000e+00 
1.37031e-04 1.59689e+02  -1.59687e+02 0.00000e+00 
1.37552e-04 1.62130e+02  -1.62128e+02 0.00000e+00 
1.38072e-04 1.64598e+02  -1.64596e+02 0.00000e+00 
1.38593e-04 1.67096e+02  -1.67094e+02 0.00000e+00 
1.39114e-04 1.69623e+02  -1.69621e+02 0.00000e+00 
1.39635e-04 1.72179e+02  -1.72177e+02 0.00000e+00 
1.40156e-04 1.74762e+02  -1.74759e+02 0.00000e+00 
1.40677e-04 1.77372e+02  -1.77370e+02 0.00000e+00 
1.41198e-04 1.80013e+02  -1.80010e+02 0.00000e+00 
1.41719e-04 1.82684e+02  -1.82681e+02 0.00000e+00 
1.42240e-04 1.85386e+02  -1.85383e+02 0.00000e+00 
1.42761e-04 1.88117e+02  -1.88114e+02 0.00000e+00 
1.43282e-04 1.90876e+02  -1.90873e+02 0.00000e+00 
1.43803e-04 1.93665e+02  -1.93662e+02 0.00000e+00 
1.44324e-04 1.96485e+02  -1.96483e+02 0.00000e+00 
1.44845e-04 1.99338e+02  -1.99335e+02 0.00000e+00 
1.45366e-04 2.02222e+02  -2.02220e+02 0.00000e+00 
1.45887e-04 2.05136e+02  -2.05133e+02 0.00000e+00 
1.46408e-04 2.08079e+02  -2.08077e+02 0.00000e+00 
1.46929e-04 2.11055e+02  -2.11052e+02 0.00000e+00 
1.47450e-04 2.14063e+02  -2.14061e+02 0.00000e+00 
1.47971e-04 2.17105e+02  -2.17103e+02 0.00000e+00 
1.48492e-04 2.20179e+02  -2.20177e+02 0.00000e+00 
1.49013e-04 2.23284e+02  -2.23281e+02 0.00000e+00 
1.49534e-04 2.26420e+02  -2.26417e+02 0.00000e+00 
1.50055e-04 2.29590e+02  -2.29587e+02 0.00000e+00 
1.50576e-04 2.32795e+02  -2.32792e+02 0.00000e+00 
1.51097e-04 2.36035e+02  -2.36032e+02 0.00000e+00 
1.51618e-04 2.39306e+02  -2.39303e+02 0.00000e+00 
1.52139e-04 2.42610e+02  -2.42607e+02 0.00000e+00 
1.52660e-04 2.45947e+02  -2.45944e+02 0.00000e+00 
1.53181e-04 2.49320e+02  -2.49317e+02 0.00000e+00 
1.53702e-04 2.52730e+02  -2.52727e+02 0.00000e+00 
1.54222e-04 2.56175e+02  -2.56172e+02 0.00000e+00 
1.54743e-04 2.59652e+02  -2.59650e+02 0.00000e+00 
1.55264e-04 2.63164e+02  -2.63161e+02 0.00000e+00 
1.55785e-04 2.66711e+02  -2.66708e+02 0.00000e+00 
1.56306e-04 2.70295e+02  -2.70292e+02 0.00000e+00 
1.56827e-04 2.73918e+02  -2.73915e+02 0.00000e+00 
1.57348e-04 2.77576e+02  -2.77573e+02 0.00000e+00 
1.57869e-04 2.81268e+02  -2.81265e+02 0.00000e+00 
1.58390e-04 2.84996e+02  -2.84993e+02 0.00000e+00 
1.58911e-04 2.88762e+02  -2.88759e+02 0.00000e+00 
1.59432e-04 2.92567e+02  -2.92564e+02 0.00000e+00 
