1.03687e-04 5.23543e+01  -5.23530e+01 0.00000e+00 
1.04208e-04 5.34141e+01  -5.34128e+01 0.00000e+00 
1.04729e-04 5.44901e+01  -5.44887e+01 0.00000e+00 
1.05250e-04 5.55824e+01  -5.55810e+01 0.00000e+00 
1.05771e-04 5.66912e+01  -5.66898e+01 0.00000e+00 
1.06292e-04 5.78164e+01  -5.78150e+01 0.00000e+00 
1.06813e-04 5.89579e+01  -5.89565e+01 0.00000e+00 
1.07334e-04 6.01159e+01  -6.01145e+01 0.00000e+00 
1.07855e-04 6.12913e+01  -6.12898e+01 0.00000e+00 
1.08376e-04 6.24841e+01  -6.24827e+01 0.00000e+00 
1.08897e-04 6.36946e+01  -6.36932e+01 0.00000e+00 
1.09418e-04 6.49223e+01  -6.49209e+01 0.00000e+00 
1.09939e-04 6.61671e+01  -6.61656e+01 0.00000e+00 
1.10460e-04 6.74295e+01  -6.74280e+01 0.00000e+00 
1.10981e-04 6.87102e+01  -6.87087e+01 0.00000e+00 
1.11502e-04 7.00096e+01  -7.00081e+01 0.00000e+00 
1.12023e-04 7.13275e+01  -7.13260e+01 0.00000e+00 
1.12544e-04 7.26635e+01  -7.26620e+01 0.00000e+00 
1.13065e-04 7.40177e+01  -7.40161e+01 0.00000e+00 
1.13586e-04 7.53908e+01  -7.53892e+01 0.00000e+00 
1.14107e-04 7.67833e+01  -7.67817e+01 0.00000e+00 
1.14628e-04 7.81953e+01  -7.81937e+01 0.00000e+00 
1.15149e-04 7.96265e+01  -7.96249e+01 0.00000e+00 
1.15670e-04 8.10769e+01  -8.10753e+01 0.00000e+00 
1.16191e-04 8.25468e+01  -8.25451e+01 0.00000e+00 
1.16712e-04 8.40370e+01  -8.40353e+01 0.00000e+00 
1.17233e-04 8.55476e+01  -8.55459e+01 0.00000e+00 
1.17754e-04 8.70785e+01  -8.70768e+01 0.00000e+00 
1.18275e-04 8.86294e+01  -8.86277e+01 0.00000e+00 
1.18796e-04 9.02006e+01  -9.01988e+01 0.00000e+00 
1.19317e-04 9.17926e+01  -9.17909e+01 0.00000e+00 
1.19838e-04 9.34061e+01  -9.34044e+01 0.00000e+00 
1.20359e-04 9.50411e+01  -9.50394e+01 0.00000e+00 
1.20880e-04 9.66974e+01  -9.66956e+01 0.00000e+00 
1.21401e-04 9.83749e+01  -9.83731e+01 0.00000e+00 
1.21922e-04 1.00074e+02  -1.00072e+02 0.00000e+00 
1.22443e-04 1.01794e+02  -1.01792e+02 0.00000e+00 
1.22964e-04 1.03538e+02  -1.03536e+02 0.00000e+00 
1.23485e-04 1.05303e+02  -1.05301e+02 0.00000e+00 
1.24006e-04 1.07092e+02  -1.07090e+02 0.00000e+00 
1.24527e-04 1.08902e+02  -1.08901e+02 0.00000e+00 
1.25048e-04 1.10736e+02  -1.10734e+02 0.00000e+00 
1.25569e-04 1.12592e+02  -1.12590e+02 0.00000e+00 
1.26090e-04 1.14472e+02  -1.14470e+02 0.00000e+00 
1.26611e-04 1.16375e+02  -1.16373e+02 0.00000e+00 
1.27132e-04 1.18302e+02  -1.18300e+02 0.00000e+00 
1.27653e-04 1.20253e+02  -1.20251e+02 0.00000e+00 
1.28174e-04 1.22227e+02  -1.22225e+02 0.00000e+00 
1.28695e-04 1.24226e+02  -1.24224e+02 0.00000e+00 
1.29216e-04 1.26249e+02  -1.26247e+02 0.00000e+00 
1.29737e-04 1.28298e+02  -1.28296e+02 0.00000e+00 
1.30258e-04 1.30371e+02  -1.30369e+02 0.00000e+00 
1.30779e-04 1.32468e+02  -1.32466e+02 0.00000e+00 
1.31300e-04 1.34591e+02  -1.34589e+02 0.00000e+00 
1.31821e-04 1.36739e+02  -1.36737e+02 0.00000e+00 
1.32342e-04 1.38913e+02  -1.38911e+02 0.00000e+00 
