1.06814e-04 1.17912e+02  -1.17909e+02 0.00000e+00 
1.07335e-04 1.20230e+02  -1.20227e+02 0.00000e+00 
1.07856e-04 1.22581e+02  -1.22579e+02 0.00000e+00 
1.08377e-04 1.24968e+02  -1.24965e+02 0.00000e+00 
1.08898e-04 1.27386e+02  -1.27383e+02 0.00000e+00 
1.09419e-04 1.29838e+02  -1.29835e+02 0.00000e+00 
1.09940e-04 1.32329e+02  -1.32326e+02 0.00000e+00 
1.10460e-04 1.34858e+02  -1.34855e+02 0.00000e+00 
1.10981e-04 1.37420e+02  -1.37417e+02 0.00000e+00 
1.11502e-04 1.40017e+02  -1.40014e+02 0.00000e+00 
1.12023e-04 1.42651e+02  -1.42648e+02 0.00000e+00 
1.12544e-04 1.45322e+02  -1.45319e+02 0.00000e+00 
1.13065e-04 1.48030e+02  -1.48027e+02 0.00000e+00 
1.13586e-04 1.50779e+02  -1.50776e+02 0.00000e+00 
1.14107e-04 1.53567e+02  -1.53563e+02 0.00000e+00 
1.14628e-04 1.56388e+02  -1.56385e+02 0.00000e+00 
1.15149e-04 1.59247e+02  -1.59244e+02 0.00000e+00 
1.15670e-04 1.62148e+02  -1.62145e+02 0.00000e+00 
1.16191e-04 1.65090e+02  -1.65087e+02 0.00000e+00 
1.16712e-04 1.68071e+02  -1.68068e+02 0.00000e+00 
1.17233e-04 1.71093e+02  -1.71090e+02 0.00000e+00 
1.17754e-04 1.74154e+02  -1.74151e+02 0.00000e+00 
1.18275e-04 1.77253e+02  -1.77249e+02 0.00000e+00 
1.18796e-04 1.80394e+02  -1.80391e+02 0.00000e+00 
1.19317e-04 1.83582e+02  -1.83579e+02 0.00000e+00 
1.19838e-04 1.86812e+02  -1.86808e+02 0.00000e+00 
1.20359e-04 1.90079e+02  -1.90076e+02 0.00000e+00 
1.20880e-04 1.93390e+02  -1.93386e+02 0.00000e+00 
1.21401e-04 1.96744e+02  -1.96740e+02 0.00000e+00 
1.21922e-04 2.00141e+02  -2.00137e+02 0.00000e+00 
1.22443e-04 2.03584e+02  -2.03580e+02 0.00000e+00 
1.22964e-04 2.07074e+02  -2.07070e+02 0.00000e+00 
1.23485e-04 2.10606e+02  -2.10602e+02 0.00000e+00 
1.24006e-04 2.14178e+02  -2.14174e+02 0.00000e+00 
1.24527e-04 2.17797e+02  -2.17793e+02 0.00000e+00 
1.25048e-04 2.21466e+02  -2.21462e+02 0.00000e+00 
1.25569e-04 2.25180e+02  -2.25176e+02 0.00000e+00 
1.26090e-04 2.28940e+02  -2.28936e+02 0.00000e+00 
1.26611e-04 2.32748e+02  -2.32744e+02 0.00000e+00 
1.27132e-04 2.36600e+02  -2.36596e+02 0.00000e+00 
1.27653e-04 2.40497e+02  -2.40493e+02 0.00000e+00 
1.28174e-04 2.44447e+02  -2.44443e+02 0.00000e+00 
1.28695e-04 2.48450e+02  -2.48445e+02 0.00000e+00 
1.29216e-04 2.52497e+02  -2.52493e+02 0.00000e+00 
1.29737e-04 2.56591e+02  -2.56586e+02 0.00000e+00 
1.30258e-04 2.60735e+02  -2.60731e+02 0.00000e+00 
1.30779e-04 2.64929e+02  -2.64925e+02 0.00000e+00 
1.31300e-04 2.69174e+02  -2.69170e+02 0.00000e+00 
1.31821e-04 2.73474e+02  -2.73470e+02 0.00000e+00 
1.32342e-04 2.77825e+02  -2.77821e+02 0.00000e+00 
1.32863e-04 2.82223e+02  -2.82218e+02 0.00000e+00 
1.33384e-04 2.86670e+02  -2.86666e+02 0.00000e+00 
1.33905e-04 2.91174e+02  -2.91170e+02 0.00000e+00 
1.34426e-04 2.95734e+02  -2.95729e+02 0.00000e+00 
1.34947e-04 3.00344e+02  -3.00340e+02 0.00000e+00 
1.35468e-04 3.05010e+02  -3.05005e+02 0.00000e+00 
1.35989e-04 3.09728e+02  -3.09723e+02 0.00000e+00 
1.36510e-04 3.14496e+02  -3.14492e+02 0.00000e+00 
1.37031e-04 3.19321e+02  -3.19317e+02 0.00000e+00 
1.37552e-04 3.24208e+02  -3.24203e+02 0.00000e+00 
1.38073e-04 3.29150e+02  -3.29145e+02 0.00000e+00 
1.38594e-04 3.34143e+02  -3.34138e+02 0.00000e+00 
1.39115e-04 3.39192e+02  -3.39187e+02 0.00000e+00 
1.39636e-04 3.44300e+02  -3.44295e+02 0.00000e+00 
1.40157e-04 3.49464e+02  -3.49459e+02 0.00000e+00 
1.40678e-04 3.54689e+02  -3.54684e+02 0.00000e+00 
1.41199e-04 3.59975e+02  -3.59970e+02 0.00000e+00 
1.41720e-04 3.65317e+02  -3.65312e+02 0.00000e+00 
1.42241e-04 3.70712e+02  -3.70707e+02 0.00000e+00 
1.42762e-04 3.76169e+02  -3.76164e+02 0.00000e+00 
1.43282e-04 3.81691e+02  -3.81686e+02 0.00000e+00 
1.43803e-04 3.87273e+02  -3.87268e+02 0.00000e+00 
1.44324e-04 3.92915e+02  -3.92910e+02 0.00000e+00 
1.44845e-04 3.98619e+02  -3.98614e+02 0.00000e+00 
1.45366e-04 4.04382e+02  -4.04376e+02 0.00000e+00 
1.45887e-04 4.10203e+02  -4.10198e+02 0.00000e+00 
1.46408e-04 4.16093e+02  -4.16088e+02 0.00000e+00 
1.46929e-04 4.22052e+02  -4.22046e+02 0.00000e+00 
1.47450e-04 4.28069e+02  -4.28064e+02 0.00000e+00 
1.47971e-04 4.34146e+02  -4.34141e+02 0.00000e+00 
1.48492e-04 4.40290e+02  -4.40284e+02 0.00000e+00 
1.49013e-04 4.46498e+02  -4.46493e+02 0.00000e+00 
1.49534e-04 4.52772e+02  -4.52767e+02 0.00000e+00 
