6.63717e-05 3.91471e+01  -3.91465e+01 0.00000e+00 
6.67120e-05 3.97505e+01  -3.97499e+01 0.00000e+00 
6.70524e-05 4.03612e+01  -4.03605e+01 0.00000e+00 
6.73927e-05 4.09791e+01  -4.09785e+01 0.00000e+00 
6.77331e-05 4.16046e+01  -4.16039e+01 0.00000e+00 
6.80734e-05 4.22374e+01  -4.22367e+01 0.00000e+00 
6.84138e-05 4.28777e+01  -4.28770e+01 0.00000e+00 
6.87541e-05 4.35255e+01  -4.35248e+01 0.00000e+00 
6.90945e-05 4.41808e+01  -4.41801e+01 0.00000e+00 
6.94348e-05 4.48436e+01  -4.48430e+01 0.00000e+00 
6.97752e-05 4.55142e+01  -4.55135e+01 0.00000e+00 
7.01155e-05 4.61927e+01  -4.61920e+01 0.00000e+00 
7.04559e-05 4.68790e+01  -4.68783e+01 0.00000e+00 
7.07962e-05 4.75734e+01  -4.75727e+01 0.00000e+00 
7.11366e-05 4.82758e+01  -4.82751e+01 0.00000e+00 
7.14769e-05 4.89862e+01  -4.89855e+01 0.00000e+00 
7.18173e-05 4.97047e+01  -4.97040e+01 0.00000e+00 
7.21576e-05 5.04313e+01  -5.04305e+01 0.00000e+00 
7.24979e-05 5.11661e+01  -5.11653e+01 0.00000e+00 
7.28383e-05 5.19092e+01  -5.19085e+01 0.00000e+00 
7.31786e-05 5.26608e+01  -5.26600e+01 0.00000e+00 
7.35190e-05 5.34209e+01  -5.34201e+01 0.00000e+00 
7.38593e-05 5.41896e+01  -5.41888e+01 0.00000e+00 
7.41997e-05 5.49669e+01  -5.49661e+01 0.00000e+00 
7.45400e-05 5.57529e+01  -5.57521e+01 0.00000e+00 
7.48804e-05 5.65476e+01  -5.65468e+01 0.00000e+00 
7.52207e-05 5.73510e+01  -5.73502e+01 0.00000e+00 
7.55611e-05 5.81632e+01  -5.81624e+01 0.00000e+00 
7.59014e-05 5.89843e+01  -5.89836e+01 0.00000e+00 
7.62418e-05 5.98146e+01  -5.98138e+01 0.00000e+00 
7.65821e-05 6.06540e+01  -6.06532e+01 0.00000e+00 
7.69224e-05 6.15027e+01  -6.15019e+01 0.00000e+00 
7.72628e-05 6.23607e+01  -6.23599e+01 0.00000e+00 
7.76031e-05 6.32279e+01  -6.32271e+01 0.00000e+00 
7.79435e-05 6.41045e+01  -6.41036e+01 0.00000e+00 
7.82838e-05 6.49904e+01  -6.49896e+01 0.00000e+00 
7.86242e-05 6.58858e+01  -6.58850e+01 0.00000e+00 
7.89645e-05 6.67909e+01  -6.67900e+01 0.00000e+00 
7.93049e-05 6.77056e+01  -6.77048e+01 0.00000e+00 
7.96452e-05 6.86302e+01  -6.86294e+01 0.00000e+00 
7.99855e-05 6.95647e+01  -6.95639e+01 0.00000e+00 
8.03259e-05 7.05092e+01  -7.05083e+01 0.00000e+00 
8.06662e-05 7.14636e+01  -7.14627e+01 0.00000e+00 
8.10066e-05 7.24279e+01  -7.24271e+01 0.00000e+00 
8.13469e-05 7.34024e+01  -7.34015e+01 0.00000e+00 
8.16873e-05 7.43869e+01  -7.43860e+01 0.00000e+00 
8.20276e-05 7.53818e+01  -7.53809e+01 0.00000e+00 
8.23679e-05 7.63872e+01  -7.63862e+01 0.00000e+00 
8.27083e-05 7.74030e+01  -7.74021e+01 0.00000e+00 
8.30486e-05 7.84295e+01  -7.84285e+01 0.00000e+00 
8.33890e-05 7.94665e+01  -7.94656e+01 0.00000e+00 
8.37293e-05 8.05142e+01  -8.05133e+01 0.00000e+00 
8.40697e-05 8.15726e+01  -8.15717e+01 0.00000e+00 
8.44100e-05 8.26417e+01  -8.26408e+01 0.00000e+00 
8.47503e-05 8.37217e+01  -8.37208e+01 0.00000e+00 
8.50907e-05 8.48127e+01  -8.48117e+01 0.00000e+00 
8.54310e-05 8.59148e+01  -8.59139e+01 0.00000e+00 
8.57714e-05 8.70282e+01  -8.70272e+01 0.00000e+00 
8.61117e-05 8.81529e+01  -8.81519e+01 0.00000e+00 
8.64520e-05 8.92889e+01  -8.92879e+01 0.00000e+00 
8.67924e-05 9.04362e+01  -9.04352e+01 0.00000e+00 
8.71327e-05 9.15950e+01  -9.15940e+01 0.00000e+00 
8.74731e-05 9.27653e+01  -9.27643e+01 0.00000e+00 
8.78134e-05 9.39471e+01  -9.39461e+01 0.00000e+00 
8.81537e-05 9.51407e+01  -9.51397e+01 0.00000e+00 
8.84941e-05 9.63462e+01  -9.63452e+01 0.00000e+00 
8.88344e-05 9.75637e+01  -9.75626e+01 0.00000e+00 
8.91748e-05 9.87932e+01  -9.87921e+01 0.00000e+00 
8.95151e-05 1.00035e+02  -1.00034e+02 0.00000e+00 
8.98554e-05 1.01288e+02  -1.01287e+02 0.00000e+00 
9.01958e-05 1.02554e+02  -1.02553e+02 0.00000e+00 
9.05361e-05 1.03832e+02  -1.03831e+02 0.00000e+00 
9.08764e-05 1.05123e+02  -1.05121e+02 0.00000e+00 
9.12168e-05 1.06425e+02  -1.06424e+02 0.00000e+00 
9.15571e-05 1.07741e+02  -1.07740e+02 0.00000e+00 
9.18975e-05 1.09069e+02  -1.09068e+02 0.00000e+00 
9.22378e-05 1.10410e+02  -1.10409e+02 0.00000e+00 
9.25781e-05 1.11764e+02  -1.11763e+02 0.00000e+00 
9.29185e-05 1.13131e+02  -1.13130e+02 0.00000e+00 
