5.82588e-03 4.71749e+08  -4.71738e+08 0.00000e+00 
5.85309e-03 4.80616e+08  -4.80606e+08 0.00000e+00 
5.88031e-03 4.89607e+08  -4.89597e+08 0.00000e+00 
5.90752e-03 4.98723e+08  -4.98713e+08 0.00000e+00 
5.93473e-03 5.07965e+08  -5.07954e+08 0.00000e+00 
5.96195e-03 5.17333e+08  -5.17323e+08 0.00000e+00 
5.98916e-03 5.26830e+08  -5.26819e+08 0.00000e+00 
6.01638e-03 5.36456e+08  -5.36445e+08 0.00000e+00 
6.04359e-03 5.46213e+08  -5.46202e+08 0.00000e+00 
6.07080e-03 5.56102e+08  -5.56091e+08 0.00000e+00 
6.09802e-03 5.66125e+08  -5.66114e+08 0.00000e+00 
6.12523e-03 5.76283e+08  -5.76271e+08 0.00000e+00 
6.15244e-03 5.86576e+08  -5.86565e+08 0.00000e+00 
6.17966e-03 5.97008e+08  -5.96997e+08 0.00000e+00 
6.20687e-03 6.07579e+08  -6.07567e+08 0.00000e+00 
6.23408e-03 6.18290e+08  -6.18278e+08 0.00000e+00 
6.26129e-03 6.29143e+08  -6.29131e+08 0.00000e+00 
6.28851e-03 6.40138e+08  -6.40126e+08 0.00000e+00 
6.31572e-03 6.51278e+08  -6.51266e+08 0.00000e+00 
6.34293e-03 6.62563e+08  -6.62550e+08 0.00000e+00 
6.37014e-03 6.73994e+08  -6.73981e+08 0.00000e+00 
6.39736e-03 6.85572e+08  -6.85560e+08 0.00000e+00 
6.42457e-03 6.97299e+08  -6.97286e+08 0.00000e+00 
6.45178e-03 7.09175e+08  -7.09163e+08 0.00000e+00 
6.47899e-03 7.21202e+08  -7.21189e+08 0.00000e+00 
6.50621e-03 7.33380e+08  -7.33367e+08 0.00000e+00 
6.53342e-03 7.45711e+08  -7.45699e+08 0.00000e+00 
6.56063e-03 7.58197e+08  -7.58184e+08 0.00000e+00 
6.58784e-03 7.70837e+08  -7.70824e+08 0.00000e+00 
6.61505e-03 7.83634e+08  -7.83621e+08 0.00000e+00 
6.64226e-03 7.96589e+08  -7.96576e+08 0.00000e+00 
6.66948e-03 8.09703e+08  -8.09690e+08 0.00000e+00 
6.69669e-03 8.22979e+08  -8.22965e+08 0.00000e+00 
6.72390e-03 8.36416e+08  -8.36403e+08 0.00000e+00 
6.75111e-03 8.50018e+08  -8.50004e+08 0.00000e+00 
6.77832e-03 8.63785e+08  -8.63771e+08 0.00000e+00 
6.80553e-03 8.77719e+08  -8.77705e+08 0.00000e+00 
6.83274e-03 8.91821e+08  -8.91807e+08 0.00000e+00 
6.85995e-03 9.06093e+08  -9.06079e+08 0.00000e+00 
6.88717e-03 9.20536e+08  -9.20522e+08 0.00000e+00 
6.91438e-03 9.35152e+08  -9.35137e+08 0.00000e+00 
6.94159e-03 9.49941e+08  -9.49927e+08 0.00000e+00 
6.96880e-03 9.64906e+08  -9.64891e+08 0.00000e+00 
6.99601e-03 9.80046e+08  -9.80032e+08 0.00000e+00 
7.02322e-03 9.95365e+08  -9.95350e+08 0.00000e+00 
7.05043e-03 1.01086e+09  -1.01085e+09 0.00000e+00 
7.07764e-03 1.02654e+09  -1.02652e+09 0.00000e+00 
7.10485e-03 1.04240e+09  -1.04238e+09 0.00000e+00 
7.13206e-03 1.05844e+09  -1.05842e+09 0.00000e+00 
7.15927e-03 1.07466e+09  -1.07464e+09 0.00000e+00 
7.18648e-03 1.09107e+09  -1.09105e+09 0.00000e+00 
7.21369e-03 1.10766e+09  -1.10765e+09 0.00000e+00 
7.24090e-03 1.12445e+09  -1.12443e+09 0.00000e+00 
7.26811e-03 1.14142e+09  -1.14140e+09 0.00000e+00 
7.29532e-03 1.15858e+09  -1.15857e+09 0.00000e+00 
7.32253e-03 1.17594e+09  -1.17592e+09 0.00000e+00 
7.34974e-03 1.19349e+09  -1.19347e+09 0.00000e+00 
7.37694e-03 1.21123e+09  -1.21122e+09 0.00000e+00 
7.40415e-03 1.22918e+09  -1.22916e+09 0.00000e+00 
7.43136e-03 1.24732e+09  -1.24730e+09 0.00000e+00 
7.45857e-03 1.26566e+09  -1.26564e+09 0.00000e+00 
7.48578e-03 1.28420e+09  -1.28419e+09 0.00000e+00 
7.51299e-03 1.30295e+09  -1.30293e+09 0.00000e+00 
7.54020e-03 1.32190e+09  -1.32189e+09 0.00000e+00 
7.56741e-03 1.34106e+09  -1.34104e+09 0.00000e+00 
7.59462e-03 1.36043e+09  -1.36041e+09 0.00000e+00 
7.62182e-03 1.38000e+09  -1.37999e+09 0.00000e+00 
7.64903e-03 1.39979e+09  -1.39977e+09 0.00000e+00 
7.67624e-03 1.41979e+09  -1.41977e+09 0.00000e+00 
7.70345e-03 1.44000e+09  -1.43998e+09 0.00000e+00 
7.73066e-03 1.46042e+09  -1.46040e+09 0.00000e+00 
7.75786e-03 1.48106e+09  -1.48104e+09 0.00000e+00 
7.78507e-03 1.50192e+09  -1.50190e+09 0.00000e+00 
7.81228e-03 1.52300e+09  -1.52298e+09 0.00000e+00 
7.83949e-03 1.54429e+09  -1.54428e+09 0.00000e+00 
7.86670e-03 1.56581e+09  -1.56579e+09 0.00000e+00 
7.89390e-03 1.58756e+09  -1.58754e+09 0.00000e+00 
7.92111e-03 1.60952e+09  -1.60950e+09 0.00000e+00 
7.94832e-03 1.63172e+09  -1.63170e+09 0.00000e+00 
7.97552e-03 1.65414e+09  -1.65412e+09 0.00000e+00 
8.00273e-03 1.67679e+09  -1.67677e+09 0.00000e+00 
8.02994e-03 1.69968e+09  -1.69966e+09 0.00000e+00 
8.05715e-03 1.72280e+09  -1.72278e+09 0.00000e+00 
8.08435e-03 1.74615e+09  -1.74613e+09 0.00000e+00 
8.11156e-03 1.76974e+09  -1.76972e+09 0.00000e+00 
8.13877e-03 1.79357e+09  -1.79355e+09 0.00000e+00 
8.16597e-03 1.81764e+09  -1.81762e+09 0.00000e+00 
8.19318e-03 1.84195e+09  -1.84193e+09 0.00000e+00 
8.22039e-03 1.86650e+09  -1.86648e+09 0.00000e+00 
8.24759e-03 1.89130e+09  -1.89128e+09 0.00000e+00 
8.27480e-03 1.91635e+09  -1.91633e+09 0.00000e+00 
8.30201e-03 1.94164e+09  -1.94162e+09 0.00000e+00 
8.32921e-03 1.96718e+09  -1.96716e+09 0.00000e+00 
8.35642e-03 1.99297e+09  -1.99295e+09 0.00000e+00 
8.38362e-03 2.01902e+09  -2.01900e+09 0.00000e+00 
8.41083e-03 2.04531e+09  -2.04529e+09 0.00000e+00 
8.43803e-03 2.07187e+09  -2.07185e+09 0.00000e+00 
8.46524e-03 2.09868e+09  -2.09866e+09 0.00000e+00 
8.49245e-03 2.12575e+09  -2.12572e+09 0.00000e+00 
8.51965e-03 2.15308e+09  -2.15305e+09 0.00000e+00 
8.54686e-03 2.18067e+09  -2.18064e+09 0.00000e+00 
8.57406e-03 2.20852e+09  -2.20850e+09 0.00000e+00 
8.60127e-03 2.23664e+09  -2.23662e+09 0.00000e+00 
8.62847e-03 2.26503e+09  -2.26501e+09 0.00000e+00 
