1.39129e-04 1.35865e-01  -1.35863e-01 0.00000e+00 
1.39650e-04 1.37911e-01  -1.37910e-01 0.00000e+00 
1.40171e-04 1.39982e-01  -1.39980e-01 0.00000e+00 
1.40692e-04 1.42076e-01  -1.42074e-01 0.00000e+00 
1.41213e-04 1.44192e-01  -1.44190e-01 0.00000e+00 
1.41734e-04 1.46332e-01  -1.46330e-01 0.00000e+00 
1.42255e-04 1.48495e-01  -1.48493e-01 0.00000e+00 
1.42777e-04 1.50683e-01  -1.50681e-01 0.00000e+00 
1.43298e-04 1.52895e-01  -1.52893e-01 0.00000e+00 
1.43819e-04 1.55131e-01  -1.55129e-01 0.00000e+00 
1.44340e-04 1.57392e-01  -1.57390e-01 0.00000e+00 
1.44861e-04 1.59676e-01  -1.59674e-01 0.00000e+00 
1.45382e-04 1.61986e-01  -1.61984e-01 0.00000e+00 
1.45903e-04 1.64321e-01  -1.64319e-01 0.00000e+00 
1.46424e-04 1.66681e-01  -1.66679e-01 0.00000e+00 
1.46945e-04 1.69067e-01  -1.69065e-01 0.00000e+00 
1.47466e-04 1.71478e-01  -1.71476e-01 0.00000e+00 
1.47987e-04 1.73914e-01  -1.73912e-01 0.00000e+00 
1.48508e-04 1.76376e-01  -1.76374e-01 0.00000e+00 
1.49029e-04 1.78864e-01  -1.78862e-01 0.00000e+00 
1.49551e-04 1.81380e-01  -1.81378e-01 0.00000e+00 
1.50072e-04 1.83921e-01  -1.83919e-01 0.00000e+00 
1.50593e-04 1.86489e-01  -1.86486e-01 0.00000e+00 
1.51114e-04 1.89083e-01  -1.89080e-01 0.00000e+00 
1.51635e-04 1.91704e-01  -1.91702e-01 0.00000e+00 
1.52156e-04 1.94353e-01  -1.94350e-01 0.00000e+00 
1.52677e-04 1.97029e-01  -1.97027e-01 0.00000e+00 
1.53198e-04 1.99733e-01  -1.99731e-01 0.00000e+00 
1.53719e-04 2.02464e-01  -2.02462e-01 0.00000e+00 
1.54240e-04 2.05223e-01  -2.05220e-01 0.00000e+00 
1.54761e-04 2.08010e-01  -2.08008e-01 0.00000e+00 
1.55282e-04 2.10826e-01  -2.10824e-01 0.00000e+00 
1.55804e-04 2.13671e-01  -2.13668e-01 0.00000e+00 
1.56325e-04 2.16544e-01  -2.16541e-01 0.00000e+00 
1.56846e-04 2.19445e-01  -2.19443e-01 0.00000e+00 
1.57367e-04 2.22375e-01  -2.22373e-01 0.00000e+00 
1.57888e-04 2.25335e-01  -2.25332e-01 0.00000e+00 
1.58409e-04 2.28325e-01  -2.28322e-01 0.00000e+00 
1.58930e-04 2.31344e-01  -2.31342e-01 0.00000e+00 
1.59451e-04 2.34393e-01  -2.34391e-01 0.00000e+00 
1.59972e-04 2.37472e-01  -2.37469e-01 0.00000e+00 
1.60493e-04 2.40580e-01  -2.40578e-01 0.00000e+00 
1.61014e-04 2.43720e-01  -2.43717e-01 0.00000e+00 
1.61535e-04 2.46891e-01  -2.46888e-01 0.00000e+00 
1.62056e-04 2.50093e-01  -2.50090e-01 0.00000e+00 
1.62578e-04 2.53325e-01  -2.53322e-01 0.00000e+00 
1.63099e-04 2.56587e-01  -2.56585e-01 0.00000e+00 
1.63620e-04 2.59881e-01  -2.59879e-01 0.00000e+00 
1.64141e-04 2.63208e-01  -2.63205e-01 0.00000e+00 
1.64662e-04 2.66567e-01  -2.66564e-01 0.00000e+00 
1.65183e-04 2.69958e-01  -2.69955e-01 0.00000e+00 
1.65704e-04 2.73380e-01  -2.73377e-01 0.00000e+00 
1.66225e-04 2.76834e-01  -2.76831e-01 0.00000e+00 
1.66746e-04 2.80321e-01  -2.80318e-01 0.00000e+00 
1.67267e-04 2.83842e-01  -2.83839e-01 0.00000e+00 
1.67788e-04 2.87396e-01  -2.87393e-01 0.00000e+00 
1.68309e-04 2.90983e-01  -2.90980e-01 0.00000e+00 
1.68831e-04 2.94603e-01  -2.94600e-01 0.00000e+00 
1.69352e-04 2.98256e-01  -2.98253e-01 0.00000e+00 
1.69873e-04 3.01944e-01  -3.01941e-01 0.00000e+00 
1.70394e-04 3.05666e-01  -3.05663e-01 0.00000e+00 
1.70915e-04 3.09423e-01  -3.09420e-01 0.00000e+00 
1.71436e-04 3.13214e-01  -3.13211e-01 0.00000e+00 
1.71957e-04 3.17039e-01  -3.17036e-01 0.00000e+00 
1.72478e-04 3.20898e-01  -3.20895e-01 0.00000e+00 
1.72999e-04 3.24794e-01  -3.24791e-01 0.00000e+00 
1.73520e-04 3.28725e-01  -3.28722e-01 0.00000e+00 
1.74041e-04 3.32692e-01  -3.32689e-01 0.00000e+00 
1.74562e-04 3.36694e-01  -3.36691e-01 0.00000e+00 
1.75084e-04 3.40732e-01  -3.40729e-01 0.00000e+00 
1.75605e-04 3.44806e-01  -3.44803e-01 0.00000e+00 
1.76126e-04 3.48916e-01  -3.48913e-01 0.00000e+00 
1.76647e-04 3.53065e-01  -3.53061e-01 0.00000e+00 
