
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       
                6.17978E-03      -23.0604E+03        53.2703E+03        49.1927E-09       398.751E+06        142.024E+03        398.751E+06        399.041E+06        112.36E-06          29.2708E+03       -18.6603E-03        62.5339E-03         0.                 0.                80.0431E+06        12.6079E+09       -18.4872E-03        64.5304E-03 
                6.29213E-03      -23.0441E+03        54.5464E+03         1.34341E-03      414.014E+06        468.756E+03        414.014E+06        414.633E+06        112.36E-06          30.1024E+03       -19.0177E-03        63.7076E-03         0.                 0.                79.3758E+06        12.8446E+09       -18.8379E-03        65.7806E-03 
                6.40449E-03      -12.0676E+03        31.1501E+03      -817.362E-06        438.215E+06        863.502E+03        438.215E+06        439.25E+06         112.36E-06          13.2471E+03       -19.6718E-03        65.525E-03          0.                 0.                37.667E+06         13.1893E+09       -19.4795E-03        67.7195E-03 
                6.51685E-03        3.89491E+03       -6.75499E+03      234.098E-06        468.209E+06        992.448E+03        468.209E+06        469.383E+06        112.36E-06           6.27421E+03      -20.4818E-03        67.7068E-03         0.                 0.               -22.5162E+06        13.5981E+09       -20.2735E-03        70.0516E-03 
                6.62921E-03       17.4444E+03       -41.748E+03        994.721E-06        498.015E+06        731.976E+03        498.015E+06        498.92E+06         112.36E-06          20.5078E+03       -21.2423E-03        69.8044E-03         0.                 0.               -73.0443E+06        13.9955E+09       -21.0183E-03        72.2984E-03 
                6.74157E-03       23.1484E+03       -57.2592E+03       527.389E-06        521.42E+06         329.23E+03         521.42E+06         521.914E+06        112.36E-06          32.9274E+03       -21.7782E-03        71.4069E-03         0.                 0.               -93.4826E+06        14.3091E+09       -21.5429E-03        74.0182E-03 
                6.85393E-03       18.6884E+03       -46.133E+03         -1.0246E-03       535.209E+06         80.9685E+03       535.209E+06        535.468E+06        112.36E-06          23.5905E+03       -22.0158E-03        72.3347E-03         0.                 0.               -75.7651E+06        14.5065E+09       -21.7753E-03        75.0151E-03 
                6.96629E-03        5.73084E+03      -13.9004E+03      -527.054E-06        540.984E+06         16.9796E+03       540.984E+06        541.196E+06        112.36E-06           7.77317E+03      -22.0122E-03        72.7202E-03         0.                 0.               -26.8661E+06        14.6107E+09       -21.7717E-03        75.4295E-03 
                7.07865E-03      -10.0938E+03        24.4565E+03       644.751E-06        544.335E+06         23.9514E+03       544.335E+06        544.553E+06        112.36E-06          11.132E+03        -21.9346E-03        72.9424E-03         0.                 0.                31.9868E+06        14.6871E+09       -21.6957E-03        75.6685E-03 
                7.19101E-03      -21.3709E+03        51.6393E+03      -468.799E-06        552.062E+06        128.646E+03        552.062E+06        552.37E+06         112.36E-06          28.1875E+03       -21.9873E-03        73.4515E-03         0.                 0.                73.3759E+06        14.8124E+09       -21.7472E-03        76.2162E-03 
                7.30337E-03      -22.6428E+03        55.6197E+03       851.071E-06        569.141E+06        438.011E+03        569.141E+06        569.758E+06        112.36E-06          31.598E+03        -22.3157E-03        74.5656E-03         0.                 0.                77.2591E+06        15.0401E+09       -22.0685E-03        77.4159E-03 
                7.41573E-03      -13.46E+03          34.6403E+03         2.40601E-03      596.711E+06        842.471E+03        596.711E+06        597.752E+06        112.36E-06          16.0502E+03       -22.9367E-03        76.3292E-03         0.                 0.                42.2933E+06        15.3788E+09       -22.6756E-03        79.3178E-03 
                7.52809E-03        1.60618E+03       -1.94718E+03      469.677E-06        631.477E+06          1.01795E+06      631.477E+06        632.707E+06        112.36E-06           6.79617E+03      -23.7321E-03        78.4941E-03         0.                 0.               -14.1466E+06        15.7878E+09       -23.4527E-03        81.6569E-03 
                7.64045E-03       15.5968E+03       -37.6034E+03       235.044E-06        666.81E+06         800.324E+03        666.81E+06         667.815E+06        112.36E-06          18.6846E+03       -24.5073E-03        80.6316E-03         0.                 0.               -65.9012E+06        16.1942E+09       -24.2095E-03        83.9715E-03 
                7.75281E-03       22.3635E+03       -56.1588E+03       235.43E-06         695.545E+06        394.943E+03        695.545E+06        696.136E+06        112.36E-06          32.7323E+03       -25.0813E-03        82.3275E-03         0.                 0.               -90.2178E+06        16.5257E+09       -24.7694E-03        85.8114E-03 
                7.86517E-03       19.2127E+03       -49.1397E+03       110.973E-09        713.481E+06        111.588E+03        713.481E+06        713.798E+06        112.36E-06          26.6154E+03       -25.3659E-03        83.3685E-03         0.                 0.               -77.4652E+06        16.7438E+09       -25.047E-03         86.9423E-03 
                7.97753E-03        7.64469E+03      -19.79E+03         353.534E-06        721.64E+06          23.0256E+03       721.64E+06         721.887E+06        112.36E-06          10.3168E+03       -25.4018E-03        83.8381E-03         0.                 0.               -33.8227E+06        16.8621E+09       -25.082E-03         87.4528E-03 
                8.08989E-03       -7.35829E+03       18.4438E+03      -470.54E-06         725.827E+06         22.0382E+03       725.827E+06        726.076E+06        112.36E-06           9.97196E+03      -25.3388E-03        84.0778E-03         0.                 0.                21.8188E+06        16.94E+09         -25.0205E-03        87.7134E-03 
                8.20225E-03      -19.211E+03         48.2729E+03         1.47224E-03      733.798E+06        105.618E+03        733.798E+06        734.117E+06        112.36E-06          26.0441E+03       -25.371E-03         84.5314E-03         0.                 0.                65.0438E+06        17.0548E+09       -25.0519E-03        88.2069E-03 
                8.31461E-03      -22.4366E+03        56.5083E+03      -529.468E-06        751.742E+06        382.422E+03        751.742E+06        752.333E+06        112.36E-06          33.0733E+03       -25.652E-03         85.5444E-03         0.                 0.                75.9497E+06        17.2662E+09       -25.3258E-03        89.3099E-03 
                8.42697E-03      -15.3798E+03        39.7732E+03         1.47341E-03      781.723E+06        792.403E+03        781.723E+06        782.741E+06        112.36E-06          19.9991E+03       -26.2239E-03        87.2104E-03         0.                 0.                48.9324E+06        17.5905E+09       -25.883E-03         91.1262E-03 
                8.53933E-03       -1.39301E+03        5.56951E+03     -235.785E-06        820.799E+06          1.03411E+06      820.799E+06        822.076E+06        112.36E-06           7.87003E+03      -26.9955E-03        89.3329E-03         0.                 0.                -3.21344E+06       17.9948E+09       -26.6343E-03        93.4446E-03 
                8.65168E-03       12.8583E+03       -31.0655E+03       295.115E-06        862.013E+06        888.725E+03        862.013E+06        863.141E+06        112.36E-06          16.0039E+03       -27.7857E-03        91.5152E-03         0.                 0.               -55.6935E+06        18.4116E+09       -27.4032E-03        95.8334E-03 
                8.76405E-03       20.9987E+03       -53.8892E+03       177.724E-06        897.191E+06        493.203E+03        897.191E+06        897.913E+06        112.36E-06          31.4617E+03       -28.4096E-03        93.3355E-03         0.                 0.               -84.9585E+06        18.7671E+09       -28.0098E-03        97.83E-03   
                8.8764E-03        19.9076E+03       -52.5302E+03       915.576E-06        920.734E+06        164.146E+03        920.734E+06        921.133E+06        112.36E-06          30.0783E+03       -28.761E-03         94.5338E-03         0.                 0.               -79.8018E+06        19.0138E+09       -28.3513E-03        99.1462E-03 
                8.98876E-03       10.3494E+03       -27.5472E+03      -443.055E-06        932.511E+06         35.6566E+03       932.511E+06        932.8E+06          112.36E-06          14.2389E+03       -28.8538E-03        95.1278E-03         0.                 0.               -43.6374E+06        19.1534E+09       -28.4415E-03        99.7993E-03 
                9.10112E-03       -3.72333E+03        9.68441E+03      -29.4236E-06       938.042E+06         20.8274E+03       938.042E+06        938.323E+06        112.36E-06           8.99144E+03      -28.8121E-03        95.4053E-03         0.                 0.                 8.39866E+06       19.2368E+09       -28.401E-03        100.105E-03  
                9.21348E-03      -16.3957E+03        42.4277E+03         1.597E-03        945.826E+06         78.429E+03        945.826E+06        946.153E+06        112.36E-06          22.4806E+03       -28.8188E-03        95.7939E-03         0.                 0.                54.4143E+06        19.3396E+09       -28.4075E-03       100.532E-03  
                9.32584E-03      -21.8772E+03        56.4145E+03        -1.21257E-03      963.463E+06        307.045E+03        963.463E+06        964.01E+06         112.36E-06          33.7683E+03       -29.0386E-03        96.6687E-03         0.                 0.                73.4899E+06        19.5276E+09       -28.621E-03        101.495E-03  
                9.4382E-03       -17.4026E+03        45.8552E+03       177.804E-06        994.488E+06        707.37E+03         994.488E+06        995.448E+06        112.36E-06          25.0132E+03       -29.5428E-03        98.1886E-03         0.                 0.                56.029E+06         19.8283E+09       -29.1107E-03       103.171E-03  
                9.55056E-03       -5.12875E+03       15.4356E+03       -59.1339E-06         1.03696E+09        1.02424E+06        1.03696E+09        1.03825E+09      112.36E-06          10.396E+03        -30.2738E-03       100.23E-03           0.                 0.                10.3255E+06        20.2211E+09       -29.8201E-03       105.425E-03  
                9.66292E-03        9.0491E+03       -21.7067E+03       533.497E-06          1.08405E+09      984.556E+03          1.08405E+09        1.08531E+09      112.36E-06          12.8611E+03       -31.0721E-03       102.443E-03          0.                 0.               -41.734E+06         20.6462E+09       -30.5943E-03       107.874E-03  
                9.77528E-03       18.8414E+03       -49.3326E+03      -118.334E-06          1.1267E+09       626.904E+03          1.1267E+09         1.12759E+09      112.36E-06          28.3663E+03       -31.753E-03        104.405E-03          0.                 0.               -76.958E+06         21.0288E+09       -31.2542E-03       110.049E-03  
                9.88764E-03       20.4079E+03       -55.1432E+03      -652.43E-06           1.1576E+09       250.559E+03          1.1576E+09         1.15812E+09      112.36E-06          33.1038E+03       -32.1888E-03       105.802E-03          0.                 0.               -81.5071E+06        21.312E+09        -31.6762E-03       111.602E-03  
               10.E-03            13.4127E+03       -36.5127E+03       860.752E-06          1.1748E+09        62.4393E+03         1.1748E+09         1.17514E+09      112.359E-06         19.5667E+03       -32.3585E-03       106.572E-03          0.                 0.               -54.7548E+06        21.4829E+09       -31.8406E-03       112.458E-03  




