8.93077e-05 3.99936e-07  -3.95676e-07 1.61657e-16 
8.97136e-05 4.17573e-07  -4.01294e-07 -1.76207e-16 
9.01195e-05 6.69661e-07  -6.34501e-07 1.64149e-16 
9.05255e-05 1.25044e-06  -1.21413e-06 -1.78519e-16 
9.09314e-05 1.96899e-06  -1.95158e-06 1.65141e-16 
9.13373e-05 2.40104e-06  -2.39809e-06 -1.79253e-16 
9.17432e-05 2.27183e-06  -2.26265e-06 1.65060e-16 
9.21491e-05 1.70130e-06  -1.67590e-06 -1.79800e-16 
9.25550e-05 1.05200e-06  -1.01810e-06 1.65684e-16 
9.29610e-05 6.26901e-07  -5.97707e-07 -1.81630e-16 
9.33669e-05 5.09168e-07  -4.93247e-07 1.67661e-16 
9.37728e-05 5.82813e-07  -5.77928e-07 -1.84424e-16 
9.41787e-05 6.86693e-07  -6.77971e-07 1.69950e-16 
9.45846e-05 8.03981e-07  -7.77630e-07 -1.86899e-16 
9.49905e-05 1.06842e-06  -1.03074e-06 1.71490e-16 
9.53964e-05 1.52841e-06  -1.50028e-06 -1.88492e-16 
9.58024e-05 1.97925e-06  -1.96970e-06 1.72249e-16 
9.62083e-05 2.12524e-06  -2.12172e-06 -1.89557e-16 
9.66142e-05 1.86914e-06  -1.85497e-06 1.72785e-16 
9.70201e-05 1.38207e-06  -1.35309e-06 -1.90721e-16 
9.74260e-05 9.37174e-07  -9.02148e-07 1.73718e-16 
9.78319e-05 7.10495e-07  -6.83860e-07 -1.92535e-16 
9.82378e-05 6.79425e-07  -6.69908e-07 1.75425e-16 
9.86437e-05 6.88394e-07  -6.86777e-07 -1.95064e-16 
9.90496e-05 6.68404e-07  -6.53631e-07 1.77559e-16 
9.94556e-05 7.66223e-07  -7.31529e-07 -1.97573e-16 
9.98615e-05 1.15382e-06  -1.11727e-06 1.79181e-16 
1.00267e-04 1.73238e-06  -1.71319e-06 -1.99217e-16 
1.00673e-04 2.15437e-06  -2.14942e-06 1.79837e-16 
1.01079e-04 2.15147e-06  -2.14355e-06 -2.00106e-16 
1.01485e-04 1.75464e-06  -1.73353e-06 1.80180e-16 
1.01891e-04 1.21370e-06  -1.18193e-06 -2.01223e-16 
1.02297e-04 7.92018e-07  -7.60025e-07 1.81407e-16 
