Global Internal Force:
 3.0219E+00 -8.0584E-01 -6.0590E+00 
 2.5274E+00  1.6333E+00 -1.2156E+01 
 7.2575E-01  2.7216E+00 -5.9391E+00 
-1.3786E+00  2.6749E+00 -1.2156E+01 
-3.0219E+00  8.0584E-01 -6.0590E+00 
-2.5274E+00 -1.6333E+00 -1.2156E+01 
-7.2575E-01 -2.7216E+00 -5.9391E+00 
 1.3786E+00 -2.6749E+00 -1.2156E+01 
 1.3523E-11  6.8715E-10 -2.4495E+01 
-1.8588E+00  4.9568E-01 -2.1237E+00 
-1.0270E+00  6.8827E-03 -3.6298E+00 
-7.7955E-01 -2.9233E+00 -1.9506E+00 
 8.9402E-01 -5.0538E-01 -3.6298E+00 
 1.8588E+00 -4.9568E-01 -2.1237E+00 
 1.0270E+00 -6.8827E-03 -3.6298E+00 
 7.7955E-01  2.9233E+00 -1.9506E+00 
5
Global Internal Force:
 1.9810E+00 -5.2827E-01 -8.2502E+00 
 2.2243E+00  1.0734E+00 -1.8783E+01 
 6.7129E-01  2.5173E+00 -8.3280E+00 
-1.3944E+00  2.0384E+00 -1.8783E+01 
-1.9810E+00  5.2827E-01 -8.2502E+00 
-2.2243E+00 -1.0734E+00 -1.8783E+01 
-6.7129E-01 -2.5173E+00 -8.3280E+00 
 1.3944E+00 -2.0384E+00 -1.8783E+01 
 3.9090E-09 -4.1168E-09 -3.9590E+01 
 2.1157E+00 -5.6420E-01  1.3825E+00 
-3.0138E+00 -1.9812E+00  3.6323E-01 
 7.7818E-01  2.9182E+00  1.5619E+00 
 1.6271E+00 -3.2187E+00  3.6323E-01 
-2.1157E+00  5.6420E-01  1.3825E+00 
 3.0138E+00  1.9812E+00  3.6323E-01 
-7.7818E-01 -2.9182E+00  1.5619E+00 

Global Reaction Force:
 0.0000E+00  0.0000E+00 -8.2502E+00 
 0.0000E+00  0.0000E+00 -1.8783E+01 
 0.0000E+00  0.0000E+00 -8.3280E+00 
 0.0000E+00  0.0000E+00 -1.8783E+01 
 0.0000E+00  0.0000E+00 -8.2502E+00 
 0.0000E+00  0.0000E+00 -1.8783E+01 
 0.0000E+00  0.0000E+00 -8.3280E+00 
 0.0000E+00  0.0000E+00 -1.8783E+01 
 0.0000E+00  0.0000E+00 -3.9590E+01 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
 1.9810E+00 -5.2827E-01 -8.2502E+00 
 2.2243E+00  1.0734E+00 -1.8783E+01 
 6.7129E-01  2.5173E+00 -8.3280E+00 
-1.3944E+00  2.0384E+00 -1.8783E+01 
-1.9810E+00  5.2827E-01 -8.2502E+00 
-2.2243E+00 -1.0734E+00 -1.8783E+01 
-6.7129E-01 -2.5173E+00 -8.3280E+00 
 1.3944E+00 -2.0384E+00 -1.8783E+01 
 3.9090E-09 -4.1168E-09 -3.9590E+01 
 2.1157E+00 -5.6420E-01  1.3825E+00 
-3.0138E+00 -1.9812E+00  3.6323E-01 
 7.7818E-01  2.9182E+00  1.5619E+00 
 1.6271E+00 -3.2187E+00  3.6323E-01 
-2.1157E+00  5.6420E-01  1.3825E+00 
 3.0138E+00  1.9812E+00  3.6323E-01 
-7.7818E-01 -2.9182E+00  1.5619E+00 
6
Global Internal Force:
-1.9700E+00  5.2532E-01 -9.5475E+00 
 7.4280E-01  8.9365E-02 -2.4011E+01 
-3.2672E-01 -1.2252E+00 -9.7316E+00 
-5.9968E-01  4.4736E-01 -2.4011E+01 
 1.9700E+00 -5.2532E-01 -9.5475E+00 
-7.4280E-01 -8.9365E-02 -2.4011E+01 
 3.2672E-01  1.2252E+00 -9.7316E+00 
 5.9968E-01 -4.4736E-01 -2.4011E+01 
 2.8983E-09 -7.4525E-09 -5.3468E+01 
 2.2721E+00 -6.0588E-01  4.3720E+00 
-3.5041E+00 -2.9915E+00  2.9474E+00 
 1.1664E+00  4.3739E+00  4.2687E+00 
 1.5492E+00 -4.3391E+00  2.9474E+00 
-2.2721E+00  6.0588E-01  4.3720E+00 
 3.5041E+00  2.9915E+00  2.9474E+00 
-1.1664E+00 -4.3739E+00  4.2687E+00 

Global Reaction Force:
 0.0000E+00  0.0000E+00 -9.5475E+00 
 0.0000E+00  0.0000E+00 -2.4011E+01 
 0.0000E+00  0.0000E+00 -9.7316E+00 
 0.0000E+00  0.0000E+00 -2.4011E+01 
 0.0000E+00  0.0000E+00 -9.5475E+00 
 0.0000E+00  0.0000E+00 -2.4011E+01 
 0.0000E+00  0.0000E+00 -9.7316E+00 
 0.0000E+00  0.0000E+00 -2.4011E+01 
 0.0000E+00  0.0000E+00 -5.3468E+01 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
-1.9700E+00  5.2532E-01 -9.5475E+00 
 7.4280E-01  8.9365E-02 -2.4011E+01 
-3.2672E-01 -1.2252E+00 -9.7316E+00 
-5.9968E-01  4.4736E-01 -2.4011E+01 
 1.9700E+00 -5.2532E-01 -9.5475E+00 
-7.4280E-01 -8.9365E-02 -2.4011E+01 
 3.2672E-01  1.2252E+00 -9.7316E+00 
 5.9968E-01 -4.4736E-01 -2.4011E+01 
 2.8983E-09 -7.4525E-09 -5.3468E+01 
 2.2721E+00 -6.0588E-01  4.3720E+00 
-3.5041E+00 -2.9915E+00  2.9474E+00 
 1.1664E+00  4.3739E+00  4.2687E+00 
 1.5492E+00 -4.3391E+00  2.9474E+00 
-2.2721E+00  6.0588E-01  4.3720E+00 
 3.5041E+00  2.9915E+00  2.9474E+00 
-1.1664E+00 -4.3739E+00  4.2687E+00 
7
Global Internal Force:
-4.5602E+00  1.2161E+00 -1.1017E+01 
-9.9095E-01 -3.3751E-01 -2.8166E+01 
-1.3670E+00 -5.1263E+00 -1.0937E+01 
 6.9132E-01 -7.8611E-01 -2.8166E+01 
 4.5602E+00 -1.2161E+00 -1.1017E+01 
 9.9095E-01  3.3751E-01 -2.8166E+01 
 1.3670E+00  5.1263E+00 -1.0937E+01 
-6.9132E-01  7.8611E-01 -2.8166E+01 
-3.0357E-09  2.5767E-09 -6.5693E+01 
-8.9556E-01  2.3882E-01  5.7466E+00 
-2.4527E+00 -1.5278E+00  5.8276E+00 
-2.6368E-01 -9.8879E-01  5.3730E+00 
 1.3663E+00 -2.5462E+00  5.8276E+00 
 8.9556E-01 -2.3882E-01  5.7466E+00 
 2.4527E+00  1.5278E+00  5.8276E+00 
 2.6368E-01  9.8879E-01  5.3730E+00 

Global Reaction Force:
 0.0000E+00  0.0000E+00 -1.1017E+01 
 0.0000E+00  0.0000E+00 -2.8166E+01 
 0.0000E+00  0.0000E+00 -1.0937E+01 
 0.0000E+00  0.0000E+00 -2.8166E+01 
 0.0000E+00  0.0000E+00 -1.1017E+01 
 0.0000E+00  0.0000E+00 -2.8166E+01 
 0.0000E+00  0.0000E+00 -1.0937E+01 
 0.0000E+00  0.0000E+00 -2.8166E+01 
 0.0000E+00  0.0000E+00 -6.5693E+01 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
-4.5602E+00  1.2161E+00 -1.1017E+01 
-9.9095E-01 -3.3751E-01 -2.8166E+01 
-1.3670E+00 -5.1263E+00 -1.0937E+01 
 6.9132E-01 -7.8611E-01 -2.8166E+01 
 4.5602E+00 -1.2161E+00 -1.1017E+01 
 9.9095E-01  3.3751E-01 -2.8166E+01 
 1.3670E+00  5.1263E+00 -1.0937E+01 
-6.9132E-01  7.8611E-01 -2.8166E+01 
-3.0357E-09  2.5767E-09 -6.5693E+01 
-8.9556E-01  2.3882E-01  5.7466E+00 
-2.4527E+00 -1.5278E+00  5.8276E+00 
-2.6368E-01 -9.8879E-01  5.3730E+00 
 1.3663E+00 -2.5462E+00  5.8276E+00 
 8.9556E-01 -2.3882E-01  5.7466E+00 
 2.4527E+00  1.5278E+00  5.8276E+00 
 2.6368E-01  9.8879E-01  5.3730E+00 
8
Global Internal Force:
-2.5840E+00  6.8906E-01 -1.3303E+01 
-1.8978E+00 -5.2055E-01 -3.2152E+01 
-1.0461E+00 -3.9227E+00 -1.3034E+01 
 1.3867E+00 -1.3964E+00 -3.2152E+01 
 2.5840E+00 -6.8906E-01 -1.3303E+01 
 1.8978E+00  5.2055E-01 -3.2152E+01 
 1.0461E+00  3.9227E+00 -1.3034E+01 
-1.3867E+00  1.3964E+00 -3.2152E+01 
-6.8505E-09  1.3195E-08 -7.6476E+01 
-2.3216E+00  6.1909E-01  4.6321E+00 
 2.5060E-01  1.1397E+00  8.6858E+00 
-1.3121E+00 -4.9205E+00  4.3806E+00 
 3.5016E-01  1.1131E+00  8.6858E+00 
 2.3216E+00 -6.1909E-01  4.6321E+00 
-2.5060E-01 -1.1397E+00  8.6858E+00 
 1.3121E+00  4.9205E+00  4.3806E+00 

Global Reaction Force:
 0.0000E+00  0.0000E+00 -1.3303E+01 
 0.0000E+00  0.0000E+00 -3.2152E+01 
 0.0000E+00  0.0000E+00 -1.3034E+01 
 0.0000E+00  0.0000E+00 -3.2152E+01 
 0.0000E+00  0.0000E+00 -1.3303E+01 
