1.72237e-06 1.28863e-05  6.17121e-16 0.00000e+00 
4.16659e-04 6.65502e+03  -6.65491e+03 0.00000e+00 
4.18380e-04 6.76556e+03  -6.76545e+03 0.00000e+00 
4.20101e-04 6.87747e+03  -6.87735e+03 0.00000e+00 
4.21822e-04 6.99076e+03  -6.99064e+03 0.00000e+00 
4.23543e-04 7.10544e+03  -7.10532e+03 0.00000e+00 
4.25264e-04 7.22152e+03  -7.22141e+03 0.00000e+00 
4.26986e-04 7.33902e+03  -7.33891e+03 0.00000e+00 
4.28707e-04 7.45795e+03  -7.45783e+03 0.00000e+00 
4.30428e-04 7.57832e+03  -7.57820e+03 0.00000e+00 
4.32149e-04 7.70013e+03  -7.70001e+03 0.00000e+00 
4.33870e-04 7.82341e+03  -7.82329e+03 0.00000e+00 
4.35591e-04 7.94816e+03  -7.94804e+03 0.00000e+00 
4.37312e-04 8.07440e+03  -8.07427e+03 0.00000e+00 
4.39033e-04 8.20213e+03  -8.20200e+03 0.00000e+00 
4.40754e-04 8.33137e+03  -8.33124e+03 0.00000e+00 
4.42475e-04 8.46213e+03  -8.46200e+03 0.00000e+00 
4.44196e-04 8.59442e+03  -8.59429e+03 0.00000e+00 
4.45917e-04 8.72826e+03  -8.72813e+03 0.00000e+00 
4.47638e-04 8.86365e+03  -8.86352e+03 0.00000e+00 
4.49359e-04 9.00060e+03  -9.00047e+03 0.00000e+00 
4.51080e-04 9.13914e+03  -9.13901e+03 0.00000e+00 
4.52801e-04 9.27927e+03  -9.27914e+03 0.00000e+00 
4.54522e-04 9.42101e+03  -9.42087e+03 0.00000e+00 
4.56243e-04 9.56436e+03  -9.56422e+03 0.00000e+00 
4.57964e-04 9.70934e+03  -9.70920e+03 0.00000e+00 
4.59685e-04 9.85595e+03  -9.85582e+03 0.00000e+00 
4.61406e-04 1.00042e+04  -1.00041e+04 0.00000e+00 
4.63127e-04 1.01542e+04  -1.01540e+04 0.00000e+00 
4.64847e-04 1.03058e+04  -1.03056e+04 0.00000e+00 
4.66568e-04 1.04591e+04  -1.04589e+04 0.00000e+00 
4.68289e-04 1.06141e+04  -1.06139e+04 0.00000e+00 
4.70010e-04 1.07708e+04  -1.07707e+04 0.00000e+00 
4.71731e-04 1.09293e+04  -1.09291e+04 0.00000e+00 
4.73452e-04 1.10894e+04  -1.10893e+04 0.00000e+00 
4.75173e-04 1.12514e+04  -1.12512e+04 0.00000e+00 
4.76894e-04 1.14151e+04  -1.14149e+04 0.00000e+00 
4.78615e-04 1.15806e+04  -1.15804e+04 0.00000e+00 
4.80336e-04 1.17479e+04  -1.17477e+04 0.00000e+00 
4.82057e-04 1.19169e+04  -1.19168e+04 0.00000e+00 
4.83778e-04 1.20878e+04  -1.20877e+04 0.00000e+00 
4.85498e-04 1.22606e+04  -1.22604e+04 0.00000e+00 
4.87219e-04 1.24351e+04  -1.24350e+04 0.00000e+00 
4.88940e-04 1.26116e+04  -1.26114e+04 0.00000e+00 
4.90661e-04 1.27899e+04  -1.27897e+04 0.00000e+00 
4.92382e-04 1.29700e+04  -1.29699e+04 0.00000e+00 
