Global Internal Force:
 0.0000E+00  0.0000E+00 -5.7939E+04 
 0.0000E+00  0.0000E+00 -5.7939E+04 
 0.0000E+00  0.0000E+00  4.3712E+06 
 0.0000E+00  0.0000E+00  4.3712E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
-4.3482E+05 -4.3482E+05  4.3712E+06 
-4.3482E+05  4.3482E+05  4.3712E+06 
-8.5122E+05 -8.5122E+05 -1.0535E+06 
-8.5122E+05  8.5122E+05 -1.0535E+06 
-4.9995E+05 -4.9995E+05 -2.4598E+06 
-4.9995E+05  4.9995E+05 -2.4598E+06 
-8.2162E+04 -8.2162E+04 -7.9993E+05 
-8.2162E+04  8.2162E+04 -7.9993E+05 
 3.0320E+02  3.0319E+02 -5.7939E+04 
 3.0320E+02 -3.0319E+02 -5.7939E+04 
 4.3482E+05 -4.3482E+05  4.3712E+06 
 4.3482E+05  4.3482E+05  4.3712E+06 
 8.5122E+05 -8.5122E+05 -1.0535E+06 
 8.5122E+05  8.5122E+05 -1.0535E+06 
 4.9995E+05 -4.9995E+05 -2.4598E+06 
 4.9995E+05  4.9995E+05 -2.4598E+06 
s5
Global Internal Force:
-7.5194E+05 -7.5194E+05  4.3131E+06 
-7.5194E+05  7.5194E+05  4.3131E+06 
 2.6750E+05  2.6750E+05 -1.0685E+06 
 2.6750E+05 -2.6750E+05 -1.0685E+06 
 9.4424E+05  9.4424E+05 -1.3190E+06 
 9.4424E+05 -9.4424E+05 -1.3190E+06 
-1.9737E+05 -1.9737E+05 -1.5091E+06 
-1.9737E+05  1.9737E+05 -1.5091E+06 
-1.2301E+05 -1.2301E+05 -4.1659E+05 
-1.2301E+05  1.2301E+05 -4.1659E+05 
 7.5194E+05 -7.5194E+05  4.3131E+06 
 7.5194E+05  7.5194E+05  4.3131E+06 
-2.6750E+05  2.6750E+05 -1.0685E+06 
-2.6750E+05 -2.6750E+05 -1.0685E+06 
-9.4424E+05  9.4424E+05 -1.3190E+06 
-9.4424E+05 -9.4424E+05 -1.3190E+06 

Global Reaction Force:
 0.0000E+00  0.0000E+00  4.3131E+06 
 0.0000E+00  0.0000E+00  4.3131E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00 -4.1659E+05 
 0.0000E+00  0.0000E+00 -4.1659E+05 
 0.0000E+00  0.0000E+00  4.3131E+06 
 0.0000E+00  0.0000E+00  4.3131E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
-7.5194E+05 -7.5194E+05  4.3131E+06 
-7.5194E+05  7.5194E+05  4.3131E+06 
 2.6750E+05  2.6750E+05 -1.0685E+06 
 2.6750E+05 -2.6750E+05 -1.0685E+06 
 9.4424E+05  9.4424E+05 -1.3190E+06 
 9.4424E+05 -9.4424E+05 -1.3190E+06 
-1.9737E+05 -1.9737E+05 -1.5091E+06 
-1.9737E+05  1.9737E+05 -1.5091E+06 
-1.2301E+05 -1.2301E+05 -4.1659E+05 
-1.2301E+05  1.2301E+05 -4.1659E+05 
 7.5194E+05 -7.5194E+05  4.3131E+06 
 7.5194E+05  7.5194E+05  4.3131E+06 
-2.6750E+05  2.6750E+05 -1.0685E+06 
-2.6750E+05 -2.6750E+05 -1.0685E+06 
-9.4424E+05  9.4424E+05 -1.3190E+06 
-9.4424E+05 -9.4424E+05 -1.3190E+06 
s6
Global Internal Force:
 2.1723E+05  2.1723E+05  3.4025E+06 
 2.1723E+05 -2.1723E+05  3.4025E+06 
 1.2493E+06  1.2493E+06  2.2982E+05 
 1.2493E+06 -1.2493E+06  2.2982E+05 
 7.4773E+05  7.4773E+05 -3.9697E+05 
 7.4773E+05 -7.4773E+05 -3.9697E+05 
-5.2980E+05 -5.2980E+05 -2.0187E+06 
-5.2980E+05  5.2980E+05 -2.0187E+06 
-2.4428E+05 -2.4428E+05 -1.2166E+06 
-2.4428E+05  2.4428E+05 -1.2166E+06 
-2.1723E+05  2.1723E+05  3.4025E+06 
-2.1723E+05 -2.1723E+05  3.4025E+06 
-1.2493E+06  1.2493E+06  2.2982E+05 
-1.2493E+06 -1.2493E+06  2.2982E+05 
-7.4773E+05  7.4773E+05 -3.9697E+05 
-7.4773E+05 -7.4773E+05 -3.9697E+05 

Global Reaction Force:
 0.0000E+00  0.0000E+00  3.4025E+06 
 0.0000E+00  0.0000E+00  3.4025E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00 -1.2166E+06 
 0.0000E+00  0.0000E+00 -1.2166E+06 
 0.0000E+00  0.0000E+00  3.4025E+06 
 0.0000E+00  0.0000E+00  3.4025E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
 2.1723E+05  2.1723E+05  3.4025E+06 
 2.1723E+05 -2.1723E+05  3.4025E+06 
 1.2493E+06  1.2493E+06  2.2982E+05 
 1.2493E+06 -1.2493E+06  2.2982E+05 
 7.4773E+05  7.4773E+05 -3.9697E+05 
 7.4773E+05 -7.4773E+05 -3.9697E+05 
-5.2980E+05 -5.2980E+05 -2.0187E+06 
-5.2980E+05  5.2980E+05 -2.0187E+06 
-2.4428E+05 -2.4428E+05 -1.2166E+06 
-2.4428E+05  2.4428E+05 -1.2166E+06 
-2.1723E+05  2.1723E+05  3.4025E+06 
-2.1723E+05 -2.1723E+05  3.4025E+06 
-1.2493E+06  1.2493E+06  2.2982E+05 
-1.2493E+06 -1.2493E+06  2.2982E+05 
-7.4773E+05  7.4773E+05 -3.9697E+05 
-7.4773E+05 -7.4773E+05 -3.9697E+05 
s7
Global Internal Force:
 1.7756E+05  1.7756E+05  3.3570E+06 
 1.7756E+05 -1.7756E+05  3.3570E+06 
-3.2336E+05 -3.2336E+05  1.1518E+06 
-3.2336E+05  3.2336E+05  1.1518E+06 
-4.8376E+05 -4.8376E+05 -5.8127E+05 
-4.8376E+05  4.8376E+05 -5.8127E+05 
-1.1024E+05 -1.1024E+05 -1.4873E+06 
-1.1024E+05  1.1024E+05 -1.4873E+06 
-1.2584E+05 -1.2584E+05 -2.4403E+06 
-1.2584E+05  1.2584E+05 -2.4403E+06 
-1.7756E+05  1.7756E+05  3.3570E+06 
-1.7756E+05 -1.7756E+05  3.3570E+06 
 3.2336E+05 -3.2336E+05  1.1518E+06 
 3.2336E+05  3.2336E+05  1.1518E+06 
 4.8376E+05 -4.8376E+05 -5.8127E+05 
 4.8376E+05  4.8376E+05 -5.8127E+05 

Global Reaction Force:
 0.0000E+00  0.0000E+00  3.3570E+06 
 0.0000E+00  0.0000E+00  3.3570E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00 -2.4403E+06 
 0.0000E+00  0.0000E+00 -2.4403E+06 
 0.0000E+00  0.0000E+00  3.3570E+06 
 0.0000E+00  0.0000E+00  3.3570E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
 1.7756E+05  1.7756E+05  3.3570E+06 
 1.7756E+05 -1.7756E+05  3.3570E+06 
-3.2336E+05 -3.2336E+05  1.1518E+06 
-3.2336E+05  3.2336E+05  1.1518E+06 
-4.8376E+05 -4.8376E+05 -5.8127E+05 
-4.8376E+05  4.8376E+05 -5.8127E+05 
-1.1024E+05 -1.1024E+05 -1.4873E+06 
-1.1024E+05  1.1024E+05 -1.4873E+06 
-1.2584E+05 -1.2584E+05 -2.4403E+06 
-1.2584E+05  1.2584E+05 -2.4403E+06 
-1.7756E+05  1.7756E+05  3.3570E+06 
-1.7756E+05 -1.7756E+05  3.3570E+06 
 3.2336E+05 -3.2336E+05  1.1518E+06 
 3.2336E+05  3.2336E+05  1.1518E+06 
 4.8376E+05 -4.8376E+05 -5.8127E+05 
 4.8376E+05  4.8376E+05 -5.8127E+05 
s8
Global Internal Force:
-2.0472E+05 -2.0472E+05  3.7507E+06 
-2.0472E+05  2.0472E+05  3.7507E+06 
-1.0497E+06 -1.0497E+06  5.0902E+05 
-1.0497E+06  1.0497E+06  5.0902E+05 
-1.1869E+05 -1.1869E+05 -2.6231E+05 
-1.1869E+05  1.1869E+05 -2.6231E+05 
 6.7816E+05  6.7816E+05  1.4671E+05 
 6.7816E+05 -6.7816E+05  1.4671E+05 
-4.7842E+04 -4.7842E+04 -4.1441E+06 
